,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
24,211,150.1716574,0.0193,-54.79810901,0.0171,5.26018e+18,0.3378,0.0219,-5.701,0.04,1.766,0.035,0,80458.0,20.623,13.4244,0.0003,53214.0,81.411,13.5363,0.0017,42808.0,31.788,13.1831,0.0008,0.3532,,,8187.0,,,,,IN,1,0
25,51,150.1720233,0.0414,-54.80843536,0.0394,5.26018e+18,0.143,0.0504,-4.209,0.083,2.781,0.071,0,6339.6,3.7286,16.1832,0.0006,2906.0,9.2778,16.6932,0.0035,5249.7,10.509,15.4616,0.0022,1.2316,,,4896.33,,,,,IN,1,0
27,407,150.1659585,0.0407,-54.78141289,0.0377,5.26018e+18,0.0479,0.0477,-4.388,0.084,2.601,0.073,0,7025.6,5.1568,16.0717,0.0008,3120.5,12.476,16.6158,0.0043,5909.4,11.681,15.3331,0.0021,1.2828,,,4935.56,,,,,IN,1,0
28,299,150.1837245,0.0243,-54.77525877,0.0246,5.26018e+18,0.4316,0.0285,-7.144,0.054,5.301,0.049,0,19953.0,6.3768,14.9383,0.0003,10864.0,17.444,15.2614,0.0017,13406.0,16.349,14.4436,0.0013,0.8178,,,5748.5,,,2.08,4.238,IN,1,0
29,129,150.1408832,0.2209,-54.79662335,0.2318,5.26018e+18,0.4278,0.2804,-8.44,0.485,2.89,0.458,0,18128.0,52.812,15.0425,0.0032,6321.4,16.291,15.8494,0.0028,20149.0,35.181,14.0013,0.0019,1.8481,,,4062.5,,,,,IN,1,0
30,316,150.1933015,0.0225,-54.77196721,0.0196,5.26018e+18,0.4059,0.0239,-7.206,0.048,4.27,0.037,0,28739.0,8.4408,14.5422,0.0003,16248.0,21.849,14.8244,0.0015,18526.0,17.328,14.0924,0.001,0.7319,,,5923.76,,,2.48,6.835,IN,1,0
31,392,150.1536378,0.1357,-54.79116937,0.1294,5.26018e+18,0.5477,0.1542,-2.434,0.308,3.661,0.271,0,12685.0,30.504,15.4302,0.0026,7383.9,115.05,15.6807,0.0169,13000.0,184.6,14.4771,0.0154,1.2036,,,5074.4,,,,,IN,1,0
32,375,150.1328988,0.1027,-54.7762175,0.1051,5.26018e+18,0.7746,0.1255,-8.826,0.227,4.519,0.202,0,12578.0,31.666,15.4393,0.0027,7132.1,18.187,15.7183,0.0028,10068.0,25.604,14.7545,0.0028,0.9638,,,5349.45,0.5183,0.2513,,,IN,1,0
35,303,150.2089255,0.0262,-54.78545292,0.0236,5.26018e+18,0.1214,0.0299,-4.147,0.053,2.62,0.044,0,402200.0,112.76,11.6773,0.0003,91627.0,205.94,12.9463,0.0024,483480.0,757.54,10.551,0.0017,2.3954,46.68,0.58,3562.61,1.5547,0.7757,,,IN,1,0
36,370,150.1547483,0.0523,-54.79434733,0.0492,5.26018e+18,0.217,0.0585,-4.007,0.106,2.698,0.094,1,820870.0,930.83,10.9027,0.0012,113800.0,702.43,12.7111,0.0067,1129500.0,3886.1,9.6297,0.0037,3.0814,,,3387.0,2.2037,1.1428,,,IN,1,0
38,292,150.2037819,0.0414,-54.77328007,0.0399,5.26018e+18,1.3713,0.0487,-0.866,0.089,2.457,0.075,0,6499.2,4.8188,16.1562,0.0008,2578.7,8.8296,16.8229,0.0037,5687.4,11.351,15.3746,0.0022,1.4483,,,4536.78,0.4038,0.1885,0.67,0.173,IN,1,0
40,246,150.1778921,0.0321,-54.78008855,0.03,5.26018e+18,0.2943,0.0369,-6.575,0.069,5.549,0.06,0,10196.0,5.3215,15.6673,0.0006,4386.5,12.217,16.2461,0.003,9034.9,23.4,14.8721,0.0028,1.374,,,4516.81,,,3.98,5.93,IN,1,0
41,121,150.1283561,0.0342,-54.77937226,0.0354,5.26018e+18,0.1694,0.0419,-4.036,0.07,2.807,0.063,0,7914.0,6.0653,15.9424,0.0008,3690.5,25.536,16.4337,0.0075,6873.3,55.716,15.169,0.0088,1.2647,,,4822.0,,,,,IN,1,0
42,234,150.1698138,0.0228,-54.78741631,0.0228,5.26018e+18,0.0937,0.0267,-4.271,0.047,2.75,0.042,0,21225.0,6.8748,14.8713,0.0004,9659.6,14.827,15.389,0.0017,17467.0,19.789,14.1564,0.0012,1.2326,,,4907.5,,,,,IN,1,0
45,254,150.1840817,0.0914,-54.78413539,0.0887,5.26018e+18,-0.093,0.1108,-7.904,0.196,5.65,0.174,0,5780.3,6.0196,16.2835,0.0011,2934.2,15.929,16.6827,0.0059,5058.2,21.78,15.5019,0.0047,1.1807,,,4920.0,,,,,IN,1,0
48,123,150.1451842,0.0438,-54.80115756,0.0416,5.26018e+18,0.1062,0.0536,-4.146,0.09,2.772,0.076,0,6550.9,4.1514,16.1476,0.0007,2920.1,11.681,16.6879,0.0043,5479.4,11.662,15.4151,0.0023,1.2728,,,4827.14,,,,,IN,1,0
50,402,150.1500135,0.3909,-54.77464398,0.3889,5.26018e+18,-0.38,0.4552,-22.716,0.959,-11.352,0.86,1,13271.0,75.428,15.3811,0.0062,6995.1,18.416,15.7394,0.0029,11786.0,21.682,14.5835,0.002,1.1559,,,4964.7,,,,,IN,1,0
51,48,150.1615743,0.0324,-54.81359236,0.0296,5.26018e+18,0.2873,0.0381,-7.221,0.066,2.466,0.057,0,9146.9,4.7965,15.7852,0.0006,2793.4,15.689,16.7361,0.0061,9798.6,20.326,14.784,0.0023,1.9521,,,3857.83,1.845,0.8825,,,IN,1,0
52,306,150.193269,0.038,-54.76857734,0.0334,5.26018e+18,0.7013,0.0406,-7.242,0.079,4.342,0.063,0,7925.3,5.1747,15.9408,0.0007,3960.4,11.115,16.357,0.003,5741.6,19.218,15.3643,0.0036,0.9927,,,5352.0,0.2287,0.109,0.95,0.662,IN,1,0
53,217,150.1805822,0.0428,-54.80478227,0.0403,5.26018e+18,0.1392,0.0501,-4.159,0.088,2.836,0.078,0,6754.8,3.7828,16.1143,0.0006,2998.9,12.823,16.659,0.0046,5681.5,11.627,15.3758,0.0022,1.2832,,,4942.03,,,,,IN,1,0
57,424,150.1538374,0.0332,-54.76997129,0.0379,5.26018e+18,0.0484,0.0431,-4.159,0.073,2.632,0.066,0,10419.0,5.6037,15.6438,0.0006,4812.1,17.179,16.1455,0.0039,8822.2,39.534,14.898,0.0049,1.2476,,,4964.34,,,,,IN,1,0
59,307,150.1895496,0.0201,-54.7652877,0.0189,5.26018e+18,1.0395,0.0226,-11.581,0.04,9.0,0.035,1,28426.0,6.91,14.5541,0.0003,14501.0,18.111,14.9479,0.0014,20215.0,25.114,13.9977,0.0013,0.9501,,,5408.0,0.328,0.159,1.18,1.073,IN,1,0
60,448,150.1696395,0.0411,-54.76637066,0.0371,5.26018e+18,0.1385,0.0474,-6.551,0.087,4.094,0.074,0,6696.9,4.1931,16.1237,0.0007,2776.9,9.6235,16.7425,0.0038,5809.1,13.991,15.3517,0.0026,1.3908,,,4742.0,,,,,IN,1,0
66,364,150.1366607,0.3906,-54.77801892,0.3336,5.26018e+18,1.5325,0.4523,-5.198,0.918,5.893,0.671,1,28351.0,193.98,14.5569,0.0074,14267.0,31.198,14.9656,0.0024,31562.0,73.642,13.514,0.0025,1.4516,,,4819.07,,,,,IN,1,0
68,224,150.1840603,0.0324,-54.7861272,0.0325,5.26018e+18,1.0346,0.0392,-6.568,0.068,6.41,0.062,0,8645.0,5.3319,15.8465,0.0007,4217.3,34.287,16.2888,0.0088,8535.6,130.9,14.9338,0.0167,1.355,,,4595.73,,,0.99,0.395,IN,1,0
3,416,150.1514919,0.0362,-54.78953832,0.0334,5.26018e+18,0.053,0.0418,-4.287,0.073,2.699,0.064,0,7923.9,6.263,15.941,0.0009,3765.4,16.184,16.4119,0.0047,6327.3,17.774,15.2589,0.003,1.153,,,4899.93,,,,,IN,1,1
9,199,150.1662906,0.0171,-54.787787,0.0163,5.26018e+18,0.0427,0.02,-4.277,0.034,2.499,0.03,0,76394.0,190.74,13.4807,0.0027,34880.0,249.34,13.995,0.0078,62655.0,471.26,12.7695,0.0082,1.2254,,,4891.09,,,,,IN,1,1
13,86,150.1339592,0.0337,-54.79342228,0.0317,5.26018e+18,0.1754,0.039,-10.064,0.069,2.304,0.06,0,21600.0,8.0257,14.8522,0.0004,6020.3,17.309,15.9024,0.0031,24198.0,24.201,13.8025,0.0011,2.0999,,,3854.22,1.6315,0.797,,,IN,1,1
17,56,150.174084,0.0357,-54.80628015,0.0342,5.26018e+18,0.0759,0.0433,-4.15,0.072,2.702,0.062,0,8117.7,16.642,15.9148,0.0022,3500.2,18.233,16.4912,0.0057,6985.1,54.607,15.1515,0.0085,1.3397,,,4673.0,,,,,IN,1,1
26,233,150.179041,0.0346,-54.79128397,0.036,5.26018e+18,0.1148,0.0422,-4.383,0.072,2.741,0.07,0,8072.0,5.6423,15.9209,0.0008,3771.9,13.004,16.41,0.0037,6567.4,16.795,15.2184,0.0028,1.1915,,,4901.0,,,,,IN,1,1
33,414,150.1617422,0.1278,-54.78862585,0.1308,5.26018e+18,-0.4919,0.1527,-3.6,0.283,3.993,0.257,1,9929.6,10.757,15.696,0.0012,4628.4,12.737,16.1878,0.003,8527.3,16.547,14.9349,0.0021,1.2529,,,4834.0,,,,,IN,1,1
34,278,150.1982162,0.0657,-54.77201503,0.0589,5.26018e+18,0.3106,0.0639,-9.157,0.154,7.565,0.11,0,8740.9,11.023,15.8345,0.0014,3634.4,345.13,16.4503,0.1031,,,,,,,,,,,,,IN,1,1
37,41,150.1601687,0.043,-54.79901977,0.0399,5.26018e+18,0.0642,0.0501,-4.251,0.089,2.659,0.078,0,6088.3,3.3348,16.2271,0.0006,2835.4,15.413,16.7198,0.0059,4974.3,10.46,15.5201,0.0023,1.1997,,,4893.5,,,,,IN,1,1
39,99,150.1472721,0.0418,-54.80451788,0.0406,5.26018e+18,0.5054,0.0512,-0.853,0.086,1.342,0.073,0,6265.6,3.5515,16.196,0.0006,2932.3,13.033,16.6834,0.0048,4931.0,16.962,15.5296,0.0037,1.1538,,,5073.89,0.814,0.414,1.33,1.054,IN,1,1
44,97,150.126968,0.0523,-54.78365352,0.0492,5.26018e+18,0.4851,0.0609,-4.86,0.109,4.575,0.092,0,5761.8,3.775,16.287,0.0007,2951.3,39.54,16.6764,0.0145,5052.8,72.782,15.5031,0.0156,1.1733,,,4920.0,,,1.44,1.087,IN,1,1
46,271,150.1831773,0.0236,-54.79022504,0.0252,5.26018e+18,0.1467,0.0297,-4.232,0.05,2.74,0.05,0,18945.0,22.105,14.9947,0.0013,8988.6,23.824,15.4672,0.0029,15303.0,36.813,14.3,0.0026,1.1672,,,4898.0,,,,,IN,1,1
47,298,150.1868147,0.0213,-54.77701961,0.0192,5.26018e+18,0.1276,0.0236,-4.202,0.043,2.711,0.037,0,35155.0,247.48,14.3234,0.0076,15380.0,259.45,14.884,0.0183,29741.0,698.75,13.5785,0.0255,1.3054,,,4767.81,,,,,IN,1,1
54,422,150.1750472,0.0295,-54.77462041,0.0273,5.26018e+18,0.0235,0.0332,-4.072,0.06,2.773,0.052,0,337720.0,121.68,11.867,0.0004,72161.0,229.5,13.2056,0.0035,417890.0,656.07,10.7093,0.0017,2.4964,42.08,0.46,3671.0,,,,,IN,1,1
55,379,150.1511886,0.0296,-54.77952818,0.0284,5.26018e+18,1.0626,0.0346,-7.099,0.062,-1.759,0.058,0,10724.0,5.3681,15.6125,0.0005,4977.9,12.68,16.1088,0.0028,8424.8,10.051,14.948,0.0013,1.1607,,,4876.15,0.443,0.2173,0.91,0.426,IN,1,1
63,34,150.1701603,0.0338,-54.81064887,0.0332,5.26018e+18,0.1147,0.0389,-4.07,0.07,2.62,0.064,0,10032.0,5.7958,15.6849,0.0006,4742.9,17.047,16.1613,0.0039,8036.4,14.947,14.9993,0.002,1.162,,,4883.09,,,,,IN,1,1
64,260,150.1755624,0.0519,-54.77840572,0.0473,5.26018e+18,0.3009,0.0598,-5.91,0.117,3.25,0.099,0,8920.1,10.404,15.8124,0.0013,3172.9,52.759,16.5977,0.0181,11860.0,74.756,14.5767,0.0068,2.0211,,,3996.0,,,,,IN,1,1
67,166,150.1716337,0.0299,-54.78710152,0.0298,5.26018e+18,0.1716,0.0361,-4.022,0.062,2.78,0.056,0,10158.0,4.9674,15.6713,0.0005,4648.2,15.006,16.1832,0.0035,8485.6,13.307,14.9402,0.0017,1.243,,,4927.47,,,,,IN,1,1
43,313,150.1980152,0.0607,-54.7717077,0.0567,5.26018e+18,0.1177,0.0676,-6.737,0.136,5.517,0.112,0,12671.0,21.014,15.4313,0.0018,5059.8,121.28,16.091,0.026,20002.0,328.17,14.0092,0.0178,2.0818,,,4357.52,,,,,IN,1,2
49,267,150.185174,0.019,-54.78758017,0.0176,5.26018e+18,0.091,0.0216,-3.915,0.039,2.883,0.034,0,58342.0,129.98,13.7734,0.0024,25420.0,113.39,14.3384,0.0048,51996.0,379.83,12.972,0.0079,1.3664,,,4610.0,,,,,IN,1,2
56,395,150.1675188,0.0216,-54.7771944,0.021,5.26018e+18,1.8934,0.0257,-14.899,0.046,10.442,0.042,0,28058.0,10.381,14.5682,0.0004,13383.0,33.389,15.035,0.0027,21537.0,53.837,13.929,0.0027,1.1061,,,4965.5,0.1542,0.072,0.79,0.344,IN,1,2
61,284,150.2131277,0.0327,-54.79362838,0.029,5.26018e+18,0.6238,0.0362,1.397,0.065,-1.653,0.055,0,9053.5,4.3265,15.7963,0.0005,4502.0,13.876,16.2179,0.0033,6765.3,15.92,15.1862,0.0026,1.0317,,,5152.1,0.6317,0.3055,1.25,0.985,IN,1,2
62,394,150.1494465,0.0342,-54.78845295,0.0319,5.26018e+18,0.3361,0.0389,-8.16,0.069,3.733,0.06,0,8889.8,4.9007,15.8161,0.0006,4381.7,10.667,16.2473,0.0026,6675.4,14.287,15.2007,0.0023,1.0465,,,5172.27,,,2.27,3.319,IN,1,2
65,201,150.1656984,0.0325,-54.7912695,0.0359,5.26018e+18,0.0875,0.0383,-4.444,0.066,2.76,0.072,0,11946.0,6.0304,15.4953,0.0005,5539.0,15.87,15.9928,0.0031,9820.5,14.279,14.7816,0.0016,1.2112,,,4872.75,,,,,IN,1,2
58,302,150.1912827,0.0557,-54.77718053,0.0557,5.26018e+18,0.0148,0.064,-4.842,0.118,3.6,0.104,0,16153.0,8.7275,15.1677,0.0006,2066.1,12.272,17.0635,0.0064,23464.0,63.106,13.8359,0.0029,3.2276,,,4035.29,,,,,IN,1,3
98,335,150.1632898,0.0519,-54.78766067,0.0485,5.26018e+18,0.061,0.0613,-5.99,0.108,3.535,0.095,0,5094.8,3.8531,16.4205,0.0008,1469.0,9.7241,17.4338,0.0072,5743.6,12.059,15.364,0.0023,2.0698,,,3642.0,1.318,0.617,,,IN,2,4
100,357,150.1512533,0.0814,-54.78822803,0.0767,5.26018e+18,0.0008,0.0961,-4.814,0.171,2.356,0.146,0,2022.7,2.2327,17.4235,0.0012,1041.2,10.918,17.8075,0.0114,2027.5,21.477,16.4945,0.0115,1.313,,,,,,,,IN,2,4
101,363,150.1556604,0.1474,-54.78832243,0.1359,5.26018e+18,0.5777,0.1238,-7.997,0.387,3.877,0.349,0,2707.9,5.3231,17.1068,0.0021,,,,,,,,,,,,,,,,,IN,2,-1
102,192,150.1670776,0.0777,-54.78840572,0.075,5.26018e+18,0.2479,0.0891,-2.882,0.161,3.828,0.144,0,4335.9,5.679,16.5957,0.0014,2412.4,18.386,16.8953,0.0083,4432.1,75.999,15.6454,0.0186,1.2499,,,5000.0,,,,,IN,2,-1
103,197,150.1681172,0.081,-54.78852167,0.0872,5.26018e+18,0.0065,0.1014,-3.636,0.17,3.101,0.157,0,2688.8,3.2337,17.1145,0.0013,,,,,,,,,,,,,,,,,IN,2,-1
110,229,150.1829608,0.0492,-54.79101744,0.0467,5.26018e+18,0.1143,0.0573,-4.321,0.104,2.644,0.09,0,4610.8,3.3783,16.5289,0.0008,2271.7,29.053,16.9605,0.0139,3909.0,24.269,15.7818,0.0067,1.1787,,,5037.74,,,,,IN,2,4
119,230,150.1945002,0.0518,-54.79711847,0.0491,5.26018e+18,0.5554,0.0616,-4.02,0.107,2.899,0.094,0,3661.7,2.2843,16.7791,0.0007,1694.6,8.5903,17.2788,0.0055,2888.4,9.0277,16.1103,0.0034,1.1685,,,4886.0,0.5237,0.262,1.02,0.532,IN,2,4
69,312,150.1902807,0.0704,-54.76782962,0.0674,5.26018e+18,0.0917,0.0791,-4.799,0.144,3.295,0.126,0,2243.2,1.8723,17.3112,0.0009,867.26,9.6069,18.006,0.012,2196.6,9.2477,16.4076,0.0046,1.5985,,,,,,,,IN,2,0
72,410,150.1470437,0.051,-54.7724553,0.0529,5.26018e+18,0.6626,0.0618,-4.547,0.107,6.032,0.105,0,4301.3,2.8532,16.6044,0.0007,2048.9,12.21,17.0726,0.0065,3281.0,15.233,15.9719,0.005,1.1007,,,4948.2,0.181,0.091,0.89,0.432,IN,2,0
80,396,150.1684685,0.0749,-54.77746622,0.0736,5.26018e+18,0.1344,0.0883,-4.141,0.158,2.599,0.143,0,2327.1,3.9081,17.2713,0.0018,1544.7,85.731,17.3793,0.0603,2481.8,52.126,16.275,0.0228,1.1043,,,,,,,,IN,2,0
111,150,150.1655869,0.0619,-54.79220819,0.0661,5.26018e+18,0.1116,0.0796,-4.448,0.125,2.503,0.113,0,3217.0,2.8362,16.9197,0.001,1459.1,13.865,17.4412,0.0103,2865.6,23.761,16.1189,0.009,1.3223,,,4760.0,,,,,IN,2,0
114,157,150.1666462,0.0581,-54.79590451,0.0589,5.26018e+18,0.1626,0.0729,-4.368,0.118,2.685,0.105,0,3643.5,2.7781,16.7846,0.0008,1762.4,22.399,17.2362,0.0138,3292.1,40.898,15.9682,0.0135,1.2679,,,4566.7,,,,,IN,2,0
120,152,150.1850145,0.0557,-54.79742975,0.0524,5.26018e+18,0.3624,0.0645,-6.7,0.114,4.401,0.1,0,3207.6,2.1364,16.9229,0.0007,1405.9,10.345,17.4815,0.008,2647.2,8.3426,16.205,0.0034,1.2765,,,4856.18,,,,,IN,2,0
124,171,150.1669428,0.0597,-54.79961951,0.0637,5.26018e+18,0.086,0.0743,-3.879,0.124,2.884,0.121,0,3720.4,2.6179,16.7619,0.0008,1760.7,11.485,17.2372,0.0071,3342.6,21.383,15.9517,0.0069,1.2854,,,4665.24,,,,,IN,2,0
127,76,150.1405667,0.0485,-54.80278177,0.0472,5.26018e+18,0.4576,0.0569,-8.161,0.097,3.033,0.088,0,4925.6,3.0405,16.4572,0.0007,2230.5,20.997,16.9804,0.0102,4105.2,21.889,15.7286,0.0058,1.2518,,,4882.0,,,1.44,1.055,IN,2,0
132,212,150.1949173,0.0625,-54.80918328,0.0524,5.26018e+18,0.4463,0.0681,-6.413,0.119,3.465,0.1,0,3338.6,2.1766,16.8795,0.0007,1552.1,11.614,17.3741,0.0081,2609.8,11.944,16.2204,0.005,1.1537,,,4940.0,0.704,0.352,,,IN,2,0
133,0,150.2092775,0.0783,-54.81138384,0.0725,5.26018e+18,0.2056,0.0927,-4.727,0.156,3.745,0.133,0,1938.7,2.0971,17.4696,0.0012,791.07,8.7131,18.1059,0.012,1980.1,11.632,16.5202,0.0064,1.5856,,,,,,,,IN,2,0
134,77,150.1281855,0.0844,-54.81248102,0.0789,5.26018e+18,0.1155,0.0972,-4.738,0.173,3.493,0.152,0,2180.2,1.8465,17.3421,0.0009,539.52,9.6389,18.5214,0.0194,2624.2,9.541,16.2144,0.0039,2.3069,,,,,,,,IN,2,0
138,112,150.1369892,0.0732,-54.81474374,0.0567,5.26018e+18,0.115,0.0733,-6.209,0.139,2.004,0.103,0,3335.2,3.3774,16.8806,0.0011,1520.4,7.1392,17.3965,0.0051,2856.7,7.8037,16.1223,0.003,1.2742,,,4892.67,,,,,IN,2,0
70,449,150.1747901,0.0697,-54.77007477,0.0649,5.26018e+18,0.1756,0.08,-4.298,0.141,2.716,0.121,0,2461.8,2.239,17.2102,0.001,1096.1,16.611,17.7517,0.0165,2340.7,36.138,16.3385,0.0168,1.4132,,,,,,,,IN,2,1
71,418,150.1364477,0.0596,-54.7710159,0.059,5.26018e+18,0.3348,0.0704,-6.903,0.124,4.265,0.11,0,3383.8,2.5106,16.8649,0.0008,1511.2,14.059,17.4031,0.0101,2938.9,15.163,16.0915,0.0056,1.3116,,,4861.0,,,,,IN,2,1
73,287,150.1937702,0.0517,-54.77282137,0.0436,5.26018e+18,0.5628,0.0544,-2.775,0.107,2.26,0.084,0,4817.9,2.8715,16.4812,0.0006,2342.3,16.731,16.9273,0.0078,3949.2,14.817,15.7706,0.0041,1.1567,,,4925.69,0.844,0.405,1.13,0.675,IN,2,1
75,378,150.1683139,0.1229,-54.77352975,0.1234,5.26018e+18,0.1003,0.1495,-2.829,0.264,5.439,0.244,0,2251.4,5.1535,17.3072,0.0025,1539.1,481.34,17.3832,0.3395,,,,,,,,,,,,,IN,2,1
78,384,150.1330588,0.6624,-54.77639566,0.3655,5.26018e+18,,,,,,,0,2128.7,5.0563,17.3681,0.0026,,,,,,,,,,,,,,,,,IN,2,1
82,293,150.1889458,0.0619,-54.77889458,0.0607,5.26018e+18,0.1605,0.0727,-4.29,0.129,2.762,0.115,0,2889.0,2.4235,17.0365,0.0009,1127.4,11.781,17.7212,0.0113,2739.4,11.593,16.1678,0.0046,1.5534,,,4358.0,,,,,IN,2,1
